Date,Open,High,Low,Close,TVSMOTOR,Volume
12-07-2023,1344.800049,1354.400024,1331.199951,1338.650024,1338.650024,831708
13-07-2023,1339,1348,1325.349976,1329.75,1329.75,841814
14-07-2023,1336,1352.900024,1322.650024,1350.75,1350.75,1109229
17-07-2023,1346.150024,1363,1339.5,1342.949951,1342.949951,739899
18-07-2023,1346.400024,1368.050049,1338.550049,1346.150024,1346.150024,1011369
19-07-2023,1348.599976,1353.199951,1327.400024,1334.099976,1334.099976,810110
20-07-2023,1334,1348,1331,1345.150024,1345.150024,898508
21-07-2023,1331.5,1344.949951,1331.150024,1342.949951,1342.949951,768440
24-07-2023,1344.900024,1373,1295,1307.099976,1307.099976,2508323
25-07-2023,1333,1388.449951,1313.650024,1384,1384,5467323
26-07-2023,1393,1400.900024,1365.400024,1372.050049,1372.050049,1745448
27-07-2023,1376,1377.949951,1346.199951,1355.800049,1355.800049,991461
28-07-2023,1355.800049,1370.699951,1345.449951,1357.849976,1357.849976,722899
31-07-2023,1354,1379.449951,1347.300049,1376.699951,1376.699951,771838
01-08-2023,1375,1379.300049,1359.050049,1369.699951,1369.699951,325587
02-08-2023,1375,1396,1362.550049,1379.75,1379.75,1941995
03-08-2023,1381.949951,1391.400024,1354.400024,1363.25,1363.25,1042110
04-08-2023,1372,1384.949951,1346.449951,1358.800049,1358.800049,539333
07-08-2023,1357.400024,1357.400024,1331.650024,1340.300049,1340.300049,866160
08-08-2023,1344.900024,1345.25,1318.300049,1331.550049,1331.550049,1246119
09-08-2023,1331.099976,1349.599976,1317,1340,1340,1333966
10-08-2023,1342.449951,1355.400024,1331.300049,1349.599976,1349.599976,960273
11-08-2023,1352,1362.050049,1342.25,1349.650024,1349.650024,724490
14-08-2023,1352.599976,1352.800049,1320.800049,1344.900024,1344.900024,951927
16-08-2023,1334,1345.550049,1322.449951,1339.75,1339.75,1426246
17-08-2023,1338.900024,1340.949951,1324.099976,1336.650024,1336.650024,702360
18-08-2023,1342,1345,1329.349976,1341.400024,1341.400024,727872
21-08-2023,1340.050049,1360.449951,1329.150024,1349.5,1349.5,1480040
22-08-2023,1346.199951,1357,1335.650024,1353.550049,1353.550049,819736
23-08-2023,1354.900024,1366.800049,1349.300049,1355.300049,1355.300049,919117
24-08-2023,1365,1383.199951,1354.599976,1362.5,1362.5,1183583
25-08-2023,1355,1358,1321.099976,1339.599976,1339.599976,1437121
28-08-2023,1336.949951,1351.949951,1335.949951,1349.25,1349.25,784438
29-08-2023,1355,1388.75,1343.050049,1380.599976,1380.599976,1231116
30-08-2023,1391.5,1421.099976,1385.099976,1415.550049,1415.550049,2457022
31-08-2023,1421,1436.400024,1409.300049,1419.900024,1419.900024,2229952
01-09-2023,1419.650024,1460.400024,1414.050049,1454.099976,1454.099976,1801951
04-09-2023,1461,1469,1443.650024,1452.849976,1452.849976,1530060
05-09-2023,1456.949951,1464,1452,1457.900024,1457.900024,554308
06-09-2023,1459.900024,1484.050049,1459.150024,1478.050049,1478.050049,1249970
07-09-2023,1478.050049,1486.300049,1474,1479.800049,1479.800049,645256
08-09-2023,1484,1486.849976,1474.099976,1480.550049,1480.550049,515325
11-09-2023,1484.599976,1495.849976,1476.050049,1489,1489,754214
12-09-2023,1498.550049,1498.550049,1462,1471.699951,1471.699951,623844
13-09-2023,1466,1475.550049,1439.199951,1454.400024,1454.400024,801352
14-09-2023,1455.449951,1467.449951,1451.349976,1463.949951,1463.949951,285610
15-09-2023,1463,1508.449951,1463,1502.900024,1502.900024,1369061
18-09-2023,1507.75,1531.199951,1489.550049,1525.949951,1525.949951,1464894
