Date,Open,High,Low,Close,LT,Volume
22-08-2023,2668,2685.649902,2662,2678.800049,2678.800049,1497180
23-08-2023,2689.550049,2726,2682.449951,2717.600098,2717.600098,1990672
24-08-2023,2747.5,2766.800049,2680.600098,2688.149902,2688.149902,2619182
25-08-2023,2677.449951,2682.699951,2631,2638.399902,2638.399902,1408427
28-08-2023,2653.550049,2700,2650.050049,2695.350098,2695.350098,1551734
29-08-2023,2710,2722.100098,2696.300049,2718.949951,2718.949951,1101830
30-08-2023,2722.949951,2737.649902,2707,2709,2709,1920079
31-08-2023,2720,2724.600098,2678.350098,2702.699951,2702.699951,2439625
01-09-2023,2710,2715.949951,2688.300049,2702.100098,2702.100098,1263430
04-09-2023,2733,2742,2705,2711.100098,2711.100098,1548282
05-09-2023,2720.5,2739,2720,2732.949951,2732.949951,1066447
06-09-2023,2740,2742.800049,2712,2730.449951,2730.449951,1747425
07-09-2023,2733,2855.949951,2730,2846.399902,2846.399902,4100519
08-09-2023,2888,2928.699951,2872.449951,2901.600098,2901.600098,3638510
11-09-2023,2905,2926,2890.050049,2894.199951,2894.199951,1545803
12-09-2023,2951.600098,3009,2932.449951,2944.100098,2944.100098,7788759
13-09-2023,2943.5,2943.699951,2888.449951,2906.75,2906.75,2458417
14-09-2023,2924.899902,2931.649902,2906,2918.600098,2918.600098,1910041
15-09-2023,2933,2934.949951,2900,2908.550049,2908.550049,1655275
18-09-2023,2910,2930,2907,2919.850098,2919.850098,736631
20-09-2023,2926.949951,2944.949951,2886.050049,2890,2890,1399240
21-09-2023,2885.050049,2905.100098,2846.050049,2899.350098,2899.350098,2444711
22-09-2023,2908.699951,2936.449951,2902.25,2918.5,2918.5,1965569
25-09-2023,2917.949951,2923.800049,2871,2902.5,2902.5,1049532
26-09-2023,2915,2944,2910,2912.550049,2912.550049,953456
27-09-2023,2922,2994.899902,2911.649902,2965.050049,2965.050049,2903693
28-09-2023,2989,3050.5,2978.25,3010,3010,4081102
29-09-2023,3040,3058.350098,3005.25,3023.550049,3023.550049,2698016
03-10-2023,3040.5,3077.449951,2995.100098,3073.25,3073.25,3254492
04-10-2023,3064.100098,3064.100098,2990.050049,3027.75,3027.75,3100946
05-10-2023,3032.550049,3114.899902,3032.550049,3096.050049,3096.050049,3413447
06-10-2023,3114.949951,3114.949951,3073.149902,3093.699951,3093.699951,1898118
