Date,Open,High,Low,Close,IOC,Volume
11-09-2023,95.5,96,94.099998,95.199997,95.199997,23997873
12-09-2023,95.900002,95.900002,91.349998,91.550003,91.550003,21373206
13-09-2023,91.900002,93.5,91.349998,93.099998,93.099998,11716054
14-09-2023,93.599998,95.099998,93.150002,94.650002,94.650002,16430876
15-09-2023,94.349998,94.550003,91.75,91.949997,91.949997,35184771
18-09-2023,92.800003,93.400002,91.800003,92.599998,92.599998,17302409
20-09-2023,92.449997,92.949997,91.400002,91.849998,91.849998,18228395
21-09-2023,91.900002,93.150002,91.800003,92.75,92.75,15173388
22-09-2023,92.800003,93.349998,92,92.25,92.25,10983768
25-09-2023,92.5,92.599998,91.800003,91.949997,91.949997,10885789
26-09-2023,92.199997,92.800003,91.900002,92,92,8786944
27-09-2023,92.050003,92.400002,90.099998,90.400002,90.400002,17576586
28-09-2023,90.800003,91.400002,89.5,89.800003,89.800003,17116633
29-09-2023,90.599998,91.150002,90.25,90.949997,90.949997,7353379
03-10-2023,91.400002,91.400002,89.800003,90,90,12491467
04-10-2023,90,90.150002,88.699997,89.099998,89.099998,10554372
05-10-2023,90.449997,90.75,89.199997,89.650002,89.650002,9293183
06-10-2023,90,90,89.349998,89.75,89.75,8500414
