Date,Open,High,Low,Close,RECLTD,Volume
27-06-2023,157,161.600006,156.600006,161,154.666458,13863522
28-06-2023,161,161,161,161,154.666458,0
30-06-2023,169,169.5,164,164.649994,158.172867,15082058
03-07-2023,166.199997,168,163.649994,166.25,159.70993,9381695
04-07-2023,167.899994,167.899994,164,164.649994,158.172867,10877690
05-07-2023,165.100006,167,164.399994,166.5,159.950104,5621375
06-07-2023,166.399994,168,165.300003,165.649994,159.13353,7090232
07-07-2023,166.399994,166.800003,164.300003,165.899994,159.373688,6167119
10-07-2023,166,168.699997,165.25,166.899994,160.334351,10949947
11-07-2023,167.949997,171.149994,166.5,169.399994,162.736008,17100113
12-07-2023,170.449997,170.449997,168,169,162.351746,6928972
13-07-2023,169.600006,169.600006,163.75,165.300003,158.797302,10748152
14-07-2023,161.800003,162.300003,159.5,160.300003,158.156006,10445961
17-07-2023,160.699997,161.899994,159.850006,161.199997,159.043961,5152924
18-07-2023,161.25,162.399994,159.149994,160.100006,157.958679,8351483
19-07-2023,160.100006,163.300003,160,162.350006,160.178589,5377036
20-07-2023,162.850006,163.149994,161.550003,161.75,159.586609,2955365
21-07-2023,161.149994,162.800003,160.399994,161.850006,159.685272,6078651
24-07-2023,163.100006,175.649994,162.350006,172.949997,170.63681,37880425
25-07-2023,174.25,174.25,171,172.149994,169.847504,12870386
26-07-2023,172.949997,175.550003,171.300003,173.550003,171.22879,11027961
27-07-2023,173.75,188.949997,173.300003,188.199997,185.682831,59887084
28-07-2023,189.800003,196.949997,188,194.25,191.651917,35054688
31-07-2023,194.699997,203.850006,193.050003,202.949997,200.23555,28733969
01-08-2023,203,204.550003,198,200,197.325012,16275497
02-08-2023,199,202.600006,191.449997,196.300003,193.6745,20258835
03-08-2023,195,200.899994,193.649994,199.550003,196.881042,17437906
04-08-2023,200.300003,202.449997,197.399994,199.399994,196.733032,8719652
07-08-2023,199.399994,213,198.350006,212.050003,209.213852,43892393
08-08-2023,213.149994,220.699997,208,217,214.097641,52495107
09-08-2023,218.350006,219.449997,213.100006,217.850006,214.936279,21739954
10-08-2023,217.449997,218.199997,212.699997,216.600006,213.703003,16597765
11-08-2023,227,230.649994,222,224.300003,221.300003,58045332
14-08-2023,221.850006,223.600006,217.350006,222.149994,222.149994,19733602
16-08-2023,219.949997,225.649994,218.600006,223.149994,223.149994,15393266
17-08-2023,223.5,236.149994,222.300003,235.100006,235.100006,32482447
18-08-2023,235.699997,238.800003,232.25,234.649994,234.649994,23001607
21-08-2023,235.75,240.550003,231.449997,238.899994,238.899994,18895677
22-08-2023,239.850006,243.199997,237.149994,238.350006,238.350006,17249691
23-08-2023,239.25,240.899994,237.699997,240.050003,240.050003,12598059
24-08-2023,242.100006,245.899994,240.550003,243.5,243.5,15816126
25-08-2023,242.850006,245.350006,235.5,239.300003,239.300003,21513620
28-08-2023,240.449997,244.25,239.149994,243.25,243.25,16039839
29-08-2023,244,247,241.550003,244.350006,244.350006,18658395
30-08-2023,245.600006,249.25,244.5,245.100006,245.100006,13806303
31-08-2023,248,249.050003,234.850006,238.649994,238.649994,158351032
01-09-2023,237.949997,240.800003,230.550003,238.800003,238.800003,14221473
04-09-2023,240.199997,244.800003,237,243.600006,243.600006,10478574
05-09-2023,243.949997,244.449997,238,240.300003,240.300003,15883425
06-09-2023,240.300003,240.800003,233.649994,234.649994,234.649994,16847543
07-09-2023,236.949997,246.5,235.550003,245.550003,245.550003,21384056
08-09-2023,246.399994,272.799988,244.399994,270.149994,270.149994,63796670
11-09-2023,272.899994,284.700012,269.049988,270.450012,270.450012,30479843
12-09-2023,272.200012,272.450012,246.199997,248.350006,248.350006,49300899
13-09-2023,248,253.050003,239.899994,244.399994,244.399994,31677735
14-09-2023,245.350006,251,240.600006,246.5,246.5,19465778
15-09-2023,248,255.25,243,244.899994,244.899994,21570264
18-09-2023,247,252.75,239.600006,250.449997,250.449997,22803288
20-09-2023,250.350006,256.700012,247.850006,254.300003,254.300003,18170640
21-09-2023,255,264,251.5,259.100006,259.100006,28152219
22-09-2023,261.950012,272,259.350006,270.899994,270.899994,28891418
25-09-2023,271.799988,273.399994,265.700012,270.450012,270.450012,15387154
26-09-2023,269,272.75,265.799988,267.299988,267.299988,13775707
27-09-2023,268.700012,285.950012,267.200012,284.350006,284.350006,44789295
28-09-2023,284.200012,286,279.600006,281.299988,281.299988,17643718
29-09-2023,283.25,291.950012,282.799988,287.399994,287.399994,23448560
03-10-2023,287.950012,294.299988,285.299988,291.799988,291.799988,20802588
04-10-2023,291.600006,293.450012,280.149994,283.149994,283.149994,17320364
05-10-2023,286.149994,287,277.700012,279.299988,279.299988,11888870
06-10-2023,280.700012,286.799988,278.200012,285.5,285.5,11040241
