Date,Open,High,Low,Close,SDBL,Volume
15-09-2023,325.700012,326.5,317.450012,323.5,323.5,218023
18-09-2023,325,332.950012,325,326.450012,326.450012,271611
20-09-2023,326,327.350006,311.5,317.049988,317.049988,461437
21-09-2023,316.049988,320,314,315.149994,315.149994,128059
22-09-2023,315,323.899994,314.399994,318.799988,318.799988,224077
25-09-2023,321.799988,325,317.600006,323.299988,323.299988,169509
26-09-2023,323.299988,340,323.25,334.399994,334.399994,748671
27-09-2023,333.950012,356.149994,330,353.850006,353.850006,1022824
28-09-2023,360,361.049988,342.299988,346.549988,346.549988,501461
29-09-2023,349.25,355,344.549988,352.75,352.75,322867
03-10-2023,354.600006,369.200012,354,365.299988,365.299988,660074
04-10-2023,365,380,362,376.450012,376.450012,886064
05-10-2023,381.600006,390,378,381.399994,381.399994,523101
06-10-2023,375,375,362.549988,368.399994,368.399994,539607
